key,en_US
ACHIEVEMENT_TOAST,Achievement unlocked!
ACH_COLLECT_15,Família Crescendo
ACH_COLLECT_30,Casa Cheia
ACH_COLLECT_5,Amigo dos Pets
ACH_COLLECT_50,Todos os Focinhos
ACH_COMBO_20,Lenda do Petshop
ACH_COMBO_5,Banho Quente
ACH_COMBO_50,Mestre do Ritmo
ACH_COSMETICS_5,Vitrine de Estilo
ACH_EARN_500,Pote Cheio
ACH_FIRST_BATH,Primeiro Mergulho
ACH_FRIEND_50,Melhor Amigo
ACH_LEVEL_25,Profissional do Bairro
ACH_OFFLINE_1H,O Negócio Não Para
ACH_OFFLINE_8H,Cofre Trabalhador
ACH_PERFECT_1,Mão de Groomer
ACH_PERFECT_10,Espuma na Medida
ACH_PERFECT_100,Mãos de Ouro
ACH_PRESTIGE_1,Nova Franquia
ACH_REVIEWS_10,Queridinho do Bairro
ACH_REVIEWS_50,Queridinho da Vizinhança
ACH_RICH_5000,Pote Cheio
ACH_SERVICES_100,Bairro Atendimento
ACH_SERVICES_1000,Lenda do Pet Shop
ACH_SERVICES_500,Instituição do Bairro
ACH_STAFF_2,Equipe de Verdade
ACH_STAFF_5,Elenco Completo
ACH_STREAK_7,Semana Perfeita
ACH_UPGRADE_25,Estação Renomada
ACH_UPGRADE_5,Ducha Poderosa
ACH_UPGRADE_50,Estação dos Sonhos
AFFECTION_TOAST,Friendship bond! +%d Embers
ANALYTICS_CONSENT,Share anonymous usage data
ASSIST_ACTIVE,💡 Assist active: %d client(s) left
ASSIST_TOAST,💡 Assist: bigger window + patience for 3 clients!
ASSIST_WINDOW,Motor assistance (wider band and targets)
BACK,BACK TO PETSHOP
BIA_HIRED,Bia joined the team! She earns on her own while you serve.
BUDDY_TAG,buddy
BUDDY_VISIT,%s missed you and came first!
BUY,BUY
CHOOSE_CLIENT,Pick the next client from the queue
CLAIM,CLAIM
CLAIMED,CLAIMED
CLIENT_LEFT,%s got tired of waiting and left.
CLIENT_LEFT_COINS,💔 %s left! -%d coins
COINS,Coins
COLLECT,COLLECT
COLLECTION_SUMMARY,PETS %d/%d • ACHIEVEMENTS %d/%d • COSMETICS %d
COLLECTION_TITLE,COLLECTION
COLORBLIND_MODE,Colorblind mode (blue/orange band)
COMBO_CHEST_BODY,You kept perfect rhythm! The neighborhood is impressed.
COMBO_CHEST_TITLE,Rhythm Chest!
