upgrade_level,cost,avg_reward,services_to_buy,cumulative_minutes,coins_after
1,25,16.11,2,0.47,7.22
2,30,18.53,2,0.93,14.27
3,35,21.31,1,1.17,0.58
4,42,24.5,2,1.63,7.58
5,49,28.18,2,2.1,14.93
6,58,32.4,2,2.57,21.74
7,68,37.26,2,3.03,28.27
8,80,42.85,2,3.5,33.97
9,94,49.28,2,3.97,38.53
10,111,56.67,2,4.43,40.88
11,131,65.17,2,4.9,40.23
12,155,74.95,2,5.37,35.13
13,183,86.19,2,5.83,24.51
14,215,99.12,2,6.3,7.76
15,254,113.99,3,7.0,95.72
16,300,131.09,2,7.47,57.9
17,354,150.75,2,7.93,5.4
18,417,173.36,3,8.63,108.5
19,492,199.37,2,9.1,15.23
20,581,229.27,3,9.8,122.05
