reached_level,cumulative_xp,estimated_services,estimated_active_hours
2,50,3.8,0.02
3,125,9.6,0.04
4,225,17.3,0.08
5,350,26.9,0.12
6,500,38.5,0.17
7,675,51.9,0.23
8,875,67.3,0.3
9,1100,84.6,0.37
10,1350,103.8,0.46
11,1625,125.0,0.55
12,1925,148.1,0.66
13,2250,173.1,0.77
14,2600,200.0,0.89
15,2975,228.8,1.01
16,3375,259.6,1.15
17,3800,292.3,1.3
18,4250,326.9,1.45
19,4725,363.5,1.61
20,5225,401.9,1.78
21,5750,442.3,1.96
22,6300,484.6,2.15
23,6875,528.8,2.34
24,7475,575.0,2.55
25,8100,623.1,2.76
26,8750,673.1,2.98
27,9425,725.0,3.21
28,10125,778.8,3.45
29,10850,834.6,3.7
30,11600,892.3,3.95
31,12375,951.9,4.22
32,13175,1013.5,4.49
33,14000,1076.9,4.77
34,14850,1142.3,5.06
35,15725,1209.6,5.36
36,16625,1278.8,5.67
37,17550,1350.0,5.98
38,18500,1423.1,6.31
39,19475,1498.1,6.64
40,20475,1575.0,6.98
41,21500,1653.8,7.33
42,22550,1734.6,7.69
43,23625,1817.3,8.05
44,24725,1901.9,8.43
45,25850,1988.5,8.81
46,27000,2076.9,9.2
47,28175,2167.3,9.6
48,29375,2259.6,10.01
49,30600,2353.8,10.43
50,31850,2450.0,10.85
51,33125,2548.1,11.29
52,34425,2648.1,11.73
53,35750,2750.0,12.18
54,37100,2853.8,12.64
55,38475,2959.6,13.11
56,39875,3067.3,13.59
57,41300,3176.9,14.08
58,42750,3288.5,14.57
59,44225,3401.9,15.07
60,45725,3517.3,15.58
61,47250,3634.6,16.1
62,48800,3753.8,16.63
63,50375,3875.0,17.17
64,51975,3998.1,17.71
65,53600,4123.1,18.27
66,55250,4250.0,18.83
67,56925,4378.8,19.4
68,58625,4509.6,19.98
69,60350,4642.3,20.57
70,62100,4776.9,21.16
71,63875,4913.5,21.77
72,65675,5051.9,22.38
73,67500,5192.3,23.0
74,69350,5334.6,23.64
75,71225,5478.8,24.27
76,73125,5625.0,24.92
77,75050,5773.1,25.58
78,77000,5923.1,26.24
79,78975,6075.0,26.92
80,80975,6228.8,27.6
81,83000,6384.6,28.29
82,85050,6542.3,28.99
83,87125,6701.9,29.69
84,89225,6863.5,30.41
85,91350,7026.9,31.13
86,93500,7192.3,31.87
87,95675,7359.6,32.61
88,97875,7528.8,33.36
89,100100,7700.0,34.12
90,102350,7873.1,34.88
91,104625,8048.1,35.66
92,106925,8225.0,36.44
93,109250,8403.8,37.23
94,111600,8584.6,38.03
95,113975,8767.3,38.84
96,116375,8951.9,39.66
97,118800,9138.5,40.49
98,121250,9326.9,41.32
99,123725,9517.3,42.17
100,126225,9709.6,43.02
101,128750,9903.8,43.88
102,131300,10100.0,44.75
103,133875,10298.1,45.63
104,136475,10498.1,46.51
105,139100,10700.0,47.41
106,141750,10903.8,48.31
107,144425,11109.6,49.22
108,147125,11317.3,50.14
109,149850,11526.9,51.07
110,152600,11738.5,52.01
111,155375,11951.9,52.95
112,158175,12167.3,53.91
113,161000,12384.6,54.87
114,163850,12603.8,55.84
115,166725,12825.0,56.82
116,169625,13048.1,57.81
117,172550,13273.1,58.81
118,175500,13500.0,59.81
119,178475,13728.8,60.83
120,181475,13959.6,61.85
